,mean_rated,height,weight,club,leagueCountry,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,YC_IAT,YR_IAT,RC_IAT,YC_EXP,YR_EXP,RC_EXP
399,0.0,174.0,76.0,67,3,86.0,30.0,21.0,35.0,27.0,12.0,0.0,0.0,2.11952150831,0.0,0.0,3.4021644082,0.0,0.0
400,0.0,196.0,89.0,74,3,300.0,150.0,68.0,82.0,0.0,20.0,0.0,3.0,1.85386342628,0.0908721275763,0.0,2.48246038528,0.144527586278,0.0
401,0.0,188.0,88.0,58,1,329.0,176.0,82.0,71.0,36.0,107.0,1.0,4.0,19.0766400174,0.494863305516,0.0868858388291,25.3487809467,0.778561736251,0.176701570681
402,0.0,179.0,77.0,74,3,185.0,78.0,40.0,67.0,18.0,27.0,0.0,0.0,4.4001611308,0.0,0.0,7.23769732095,0.0,0.0
403,0.0,180.0,75.0,22,3,58.0,27.0,9.0,22.0,0.0,10.0,0.0,0.0,2.34265942985,0.0,0.0,3.72588297312,0.0,0.0
404,0.0,188.0,79.0,33,0,580.0,281.0,129.0,170.0,258.0,40.0,0.0,1.0,3.09748798552,0.0258944740494,0.0,4.77059015082,0.0258436071077,0.0
405,1.0,183.0,77.0,79,1,63.0,31.0,7.0,25.0,1.0,5.0,1.0,0.0,1.36999684513,0.0,0.334683895844,2.08450709674,0.0,0.336100963135
406,0.0,174.0,70.0,43,1,311.0,120.0,82.0,109.0,55.0,31.0,1.0,1.0,2.37895512338,0.0239059925603,0.119121064174,3.51770842766,0.0240072116525,0.149822695035
407,0.0,175.0,70.0,22,3,79.0,45.0,11.0,23.0,11.0,6.0,0.0,0.0,0.801436120739,0.0,0.0,1.27464417501,0.0,0.0
408,1.0,183.0,78.0,59,0,545.0,263.0,115.0,167.0,222.0,47.0,0.0,3.0,6.02756015815,0.74494762002,0.0,8.95659860284,0.87341348539,0.0
409,1.0,182.0,71.0,43,1,80.0,42.0,21.0,17.0,3.0,15.0,1.0,0.0,2.91776720885,0.0,0.357363192522,3.01366457486,0.0,0.449468085106
410,1.0,187.0,75.0,76,2,123.0,46.0,32.0,45.0,53.0,19.0,0.0,1.0,3.75466345188,0.0601683025497,0.0,7.5409176817,0.102413992483,0.0
411,0.0,189.0,83.0,15,2,196.0,89.0,48.0,59.0,10.0,46.0,3.0,0.0,8.54520045978,0.0,0.501136013229,11.7770161313,0.0,0.60083475333
412,0.0,188.0,78.0,27,2,215.0,81.0,58.0,76.0,2.0,27.0,0.0,0.0,2.46865971731,0.0,0.0,2.46381029771,0.0,0.0
413,0.0,194.0,89.0,44,0,218.0,118.0,47.0,53.0,0.0,12.0,0.0,2.0,1.21453531777,0.455414424421,0.0,2.0374959543,0.533050663425,0.0
414,0.0,180.0,69.0,63,3,191.0,80.0,50.0,61.0,3.0,19.0,0.0,2.0,2.125544536,0.197276583566,0.0,3.38057256397,0.313758566157,0.0
415,1.0,188.0,86.0,24,2,188.0,74.0,58.0,56.0,56.0,31.0,1.0,2.0,5.99983188017,0.16357572797,0.345305187329,6.30200067459,0.131791821266,0.377192982456
416,0.0,181.0,81.0,32,2,364.0,150.0,74.0,140.0,22.0,23.0,0.0,2.0,2.84956550665,0.217323999932,0.0,2.95596278472,0.153590537525,0.0
417,0.0,175.0,71.0,51,3,330.0,131.0,80.0,119.0,37.0,77.0,3.0,5.0,5.78147399277,0.217532661343,0.101111023686,8.19495074805,0.345974847504,0.160812039832
418,0.0,188.0,87.0,60,3,393.0,135.0,101.0,157.0,0.0,29.0,1.0,3.0,1.98698702843,0.517851031862,0.0246595729458,2.72204815322,0.823616236162,0.0392198207696
419,0.0,180.0,73.0,87,1,171.0,80.0,34.0,57.0,33.0,16.0,0.0,0.0,2.37874734093,0.0,0.0,3.01490807636,0.0,0.0
420,0.0,179.0,78.0,17,3,103.0,33.0,28.0,42.0,3.0,24.0,2.0,1.0,4.2106220805,0.0924733985468,0.197276583566,6.69678439642,0.147074327886,0.313758566157
421,0.0,170.0,69.0,20,0,327.0,168.0,85.0,74.0,76.0,16.0,0.0,1.0,1.46585902644,0.0466699548181,0.0,2.22170394488,0.0509207946116,0.0
422,0.0,180.0,77.0,76,2,186.0,72.0,46.0,68.0,18.0,32.0,1.0,1.0,3.72578884601,0.0306025602402,0.0420785203303,3.71846992987,0.0305424447637,0.04199586155
423,0.0,193.0,84.0,47,0,359.0,187.0,70.0,102.0,182.0,41.0,0.0,0.0,4.37082767796,0.0,0.0,6.74363741552,0.0,0.0
424,0.0,176.0,72.0,69,3,76.0,32.0,17.0,27.0,8.0,7.0,0.0,0.0,1.28846268642,0.0,0.0,2.04923563521,0.0,0.0
425,0.0,185.0,90.0,76,2,221.0,80.0,60.0,81.0,51.0,28.0,0.0,0.0,5.03655742887,0.0,0.0,4.73802562302,0.0,0.0
426,0.0,180.0,73.0,9,3,82.0,35.0,19.0,28.0,0.0,8.0,1.0,0.0,1.07496654711,0.0,0.0739787188374,1.70455071707,0.0,0.117659462309
427,1.0,177.0,74.0,51,3,222.0,84.0,52.0,86.0,27.0,49.0,1.0,3.0,5.30307984164,0.11889436956,0.0739787188374,9.23886914265,0.189095564425,0.117659462309
428,1.0,176.0,77.0,90,2,296.0,119.0,76.0,101.0,36.0,28.0,1.0,0.0,3.62772817739,0.0,0.0441149999434,5.89044693054,0.0,0.0557098513315
429,0.0,179.0,76.0,1,2,237.0,106.0,57.0,74.0,18.0,23.0,1.0,1.0,1.82542097455,0.0224418775095,0.0336628162643,3.06073458677,0.0223977928267,0.03359668924
430,0.0,184.0,79.0,67,3,123.0,48.0,35.0,40.0,5.0,18.0,2.0,0.0,2.1423485651,0.0,0.154122330911,3.56656877221,0.0,0.24512387981
431,0.0,189.0,90.0,89,2,429.0,152.0,114.0,163.0,13.0,79.0,2.0,3.0,10.5316135313,0.464320438804,0.0854928667029,14.1300410439,0.55080125626,0.085324925054
432,0.0,179.0,78.0,17,3,259.0,93.0,64.0,102.0,46.0,54.0,1.0,4.0,5.09740763516,0.523735702679,0.0924733985468,8.19375423181,0.832975511573,0.147074327886
433,0.0,185.0,80.0,74,3,266.0,111.0,66.0,89.0,13.0,84.0,5.0,3.0,14.7432377241,0.279389313237,0.936293146426,25.3855101463,0.280050618262,1.30875913271
